model,detail,id,price
Máy xách tay/ Laptop Acer A315-31-P66L (NX.GNTSV.002) (Đen),"
CPU: Intel® Pentium® Processor N4200 1.10 GHz, up to 2.5Ghz
Ram: 4GB
Ổ cứng: HDD 500GB 5400rpm SATA
Màn hình: 15.6 HD (1366 x 768)
Trọng lượng: 1.86kg
Hệ điều hành có sẵn: Free Dos",43,6.990.000 ₫
Máy xách tay/ Laptop Acer A515-51-37DW (NX.GPASV.008) (Xám),"
CPU: Intel Core i3-7130U
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 15.6"" FHD
Trọng lượng: 1.5kg
Hệ điều hành có sẵn: Win 10",44,11.999.000 ₫
Máy xách tay/ Laptop Acer E5-475G-51Z4 (NX.GCPSV.001),"
CPU: Intel Core i5-7200U Processor (2 x 2.50GHz), Max Turbo Frequency: 3.10GHz
Ram: 4GB DDR4
Ổ cứng: HDD 1TB SATA3 (5400rpm)
Màn hình: 14.0"" FHD (1920 x 1080) resolution Acer ComfyView™ LCD ; Anti-Glare
Trọng lượng: 2.1 kg
Hệ điều hành có sẵn: Free Dos",45,13.190.000 ₫
Máy xách tay/ Laptop Acer A315-31-P9FW (NX.GNTSV.003) (Đen),"
CPU:Intel Pentinum N4200
Ram: 4GB
Ổ cứng: HDD 500GB
Màn hình: 15.6"" HD
Trọng lượng: 2.1 kg
Hệ điều hành có sẵn: Win 10",46,7.499.000 ₫
Máy xách tay/ Laptop Acer A515-51G-39GT (NX.GPASV.003) (Xám),"
CPU: Intel Core i3 Kabylake, 7100U, 2.40 GHz
Ram: 4 GB  DDR4
Ổ cứng: HDD 500 GB
Màn hình: 15.6 inches
Trọng lượng: 2.2 kg
Hệ điều hành có sẵn: Free Dos",47,10.499.000 ₫
Máy xách tay/ Laptop Acer AN515-51-51UM (NH.Q2RSV.003) (Đen),"
CPU: Intel Core i5-7300HQ
Ram: 8GB
Ổ cứng: SSD 128GB + HDD 1TB
Màn hình: 15.6"" FHD
Trọng lượng: 2.5 kg
Hệ điều hành có sẵn: Free Dos",48,21.499.000 ₫
Máy xách tay/ Laptop Acer A315-51-39DJ (NX.GNPSV.030) (Đen),"
CPU: Intel Core i3-7130U
Ram: 4GB
Ổ cứng: HDD 1TB
Màn hình: 15.6"" FHD
Trọng lượng: 2.0 kg
Hệ điều hành có sẵn: Win 10",49,10.999.000 ₫
Máy xách tay/ Laptop Acer SF314-52-55UF (NX.GQGSV.002) (Bạc),"
CPU: Intel Core i5-8250U 1.6GHz up 3.4GHz 6MB
Ram: 4GB DDR4 2400MHz
Ổ cứng: 256GB SSD M.2
Màn hình: 14 inch FHD (1920 x 1080) Anti-Glare
Trọng lượng: 1.5 kg
Hệ điều hành có sẵn: Windows 10 Home",50,16.990.000 ₫
Máy xách tay/ Laptop Acer AN515-51-739L (NH.Q2SSV.007) (Đen),"
CPU: Intel® Core™ i7-7700HQ 2.8GHz , Turbo Boost 3.8GHz 6MB Cache
Ram: 8GB DDR4 2400MHz
Ổ cứng: 1TB SATA 5400rpm (Có khe M2 SSD)
Màn hình: 15.6” Full HD IPS 1920x1080
Trọng lượng: 2.5Kg
Hệ điều hành có sẵn: Windows 10 Single Language",51,23.990.000 ₫
Máy xách tay/ Laptop Acer G3-572-79S6 (NH.Q2BSV.002) (Đen),"
CPU: Intel Core i7-7700HQ
Ram: 8GB
Ổ cứng: SSD 128GB + HDD 1TB
Màn hình: 15.6"" FHD
Trọng lượng: 2.7kg
Hệ điều hành có sẵn: Linux",52,31.990.000 ₫
Máy xách tay/ Laptop Acer SF315-51-530V (NX.GSKSV.001) (Xanh),"
CPU: Intel® Core i5-8250U 1.6GHz Up to 3.4Ghz 6MB Cache L3
Ram: 4GB DDR4 
Ổ cứng: HDD 1TB SATA
Màn hình: 15.6"" Full HD IPS 1920x1080
Trọng lượng: 2.1Kg
Hệ điều hành có sẵn: Windows 10 Single Language",53,16.990.000 ₫
Máy xách tay/ Laptop MacBook Air MQD42ZP/A,"Trong hộp có: Dây nguồn, Sách hướng dẫn, Thùng máy, Adapter sạc
Bảo hành chính hãng: thân máy 12 tháng, pin 12 tháng, sạc 12 tháng
Giao hàng tận nơi miễn phí từ 2 7 ngày.
Tìm hiểu 1 đổi 1 trong 1 tháng với sản phẩm lỗi",54,27.850.000 ₫
"Máy xách tay/ Laptop MacBook 13.3"" MPXR2ZP/A (Bạc)","Trong hộp có: Dây nguồn, Sách hướng dẫn, Thùng máy, Adapter sạc
Bảo hành chính hãng: thân máy 12 tháng, pin 12 tháng, sạc 12 tháng
Giao hàng tận nơi miễn phí từ 2 7 ngày.
Tìm hiểu 1 đổi 1 trong 1 tháng với sản phẩm lỗi",55,33.590.000 ₫
Máy xách tay/ Laptop MacBook Air MQD32ZP/A,"Kích thước: 32.5 x 22.7 x 1.7 cm (12.8 x 8.94 x 0.68 in)
Trọng lượng: 1.35 kg (2.96 lb)
Màn hình: LED-backlit IPS LCD
Kích thước màn hình: 900 x 1440 pixels, 13.3 inches
Hệ điều hành: OS X Sierra
Bộ vi xử lý (CPU): Intel Core i5 Dual-core 1.8 GHz, Turbo Boost lên đến 2.9 GHz, 3 MB L3 cache
Đồ họa (VGA): Intel HD 6000",56,23.000.000 ₫
